system,code,display
system,code,display
https://seer.cancer.gov/icd-o-3,1,G1 Well differentiated
https://seer.cancer.gov/icd-o-3,2,G2 Moderately differentiated
https://seer.cancer.gov/icd-o-3,3,G3 Poorly differentiated
https://seer.cancer.gov/icd-o-3,4,G4 Undifferentiated
https://seer.cancer.gov/icd-o-3,9,G9 Unknown
