system	code	display
http://loinc.org	37285-4	MR Temporomandibular joint - bilateral WO contrast
http://loinc.org	37286-2	MR Temporomandibular joint - left WO contrast
http://loinc.org	37287-0	MR Temporomandibular joint - right WO contrast
http://loinc.org	37435-5	MR Temporomandibular joint cine
http://loinc.org	38061-8	MR Spine Cervical and Spine Thoracic and Spine Lumbar and Sacrum W contrast IV
http://loinc.org	38836-3	MR Orbit - left
http://loinc.org	39029-4	MR Orbit and Face WO and W contrast IV
http://loinc.org	39038-5	MR Orbit and Face W contrast IV
http://loinc.org	42270-9	MR Cervical spine W flexion and W extension
http://loinc.org	42300-4	MR Thyroid gland
http://loinc.org	42303-8	MR Orbit and Face
http://loinc.org	42385-5	MR Brain and Pituitary and Sella turcica
http://loinc.org	42386-3	MR Brain cine for CSF flow
http://loinc.org	42391-3	MR Brain and Pituitary and Sella turcica W contrast IV
http://loinc.org	42392-1	MR Brain and Pituitary and Sella turcica WO and W contrast IV
http://loinc.org	42393-9	MR Brain and Pituitary and Sella turcica WO contrast
http://loinc.org	42698-1	MR Cervical and thoracic and lumbar spine
http://loinc.org	43455-5	MR Oropharynx
http://loinc.org	43456-3	MR Cervical and thoracic spine WO and W contrast IV
http://loinc.org	43457-1	MR Cervical and thoracic spine
http://loinc.org	43530-5	MR Orbit and Face and Neck
http://loinc.org	43769-9	MR Brain and Internal auditory canal WO and W contrast IV
http://loinc.org	43772-3	MR Brain and Internal auditory canal
http://loinc.org	44122-0	MR Guidance for stereotactic localization of Brain-- WO and W contrast IV
http://loinc.org	46310-9	MR Orbit and Face and Neck WO and W contrast IV
http://loinc.org	46321-6	MR Orbit and Face and Neck W contrast IV
http://loinc.org	46332-3	MR Orbit and Face and Neck WO contrast
http://loinc.org	48440-2	MR Skull base W contrast IV
http://loinc.org	48444-4	MR Brain.temporal W contrast IV
http://loinc.org	48445-1	MR Larynx WO contrast
http://loinc.org	48447-7	MR Cervical spine W contrast IT
http://loinc.org	48450-1	MR Cervical spine WO and W contrast IT
http://loinc.org	48453-5	MR Brain.temporal WO contrast
http://loinc.org	48461-8	MR Neck limited
http://loinc.org	48687-8	MR Skull base WO contrast
http://loinc.org	48694-4	MR Brain.temporal WO and W contrast IV
http://loinc.org	69201-2	MR Guidance for biopsy of Salivary gland
http://loinc.org	69202-0	MR Guidance for biopsy of Thyroid gland
http://loinc.org	69211-1	MR Nasal bones
http://loinc.org	69220-2	MR Skull base WO and W contrast IV
http://loinc.org	80505-1	MR Brain for new diagnosis tumor WO and W contrast IV
http://loinc.org	80506-9	MR Brain for low grade tumor WO and W contrast IV
http://loinc.org	80507-7	MR Brain for high grade tumor WO and W contrast IV
http://loinc.org	80510-1	MR Brain for metastasis WO and W contrast IV
http://loinc.org	80511-9	MR Brain for postoperative
http://loinc.org	82128-0	MR Brain and Face WO contrast
http://loinc.org	82129-8	MR Brain and Face WO and W contrast IV
http://loinc.org	82130-6	MR Face and Neck WO contrast
http://loinc.org	82131-4	MR Face and Neck WO and W contrast IV
http://loinc.org	89284-4	MR Cervical and thoracic spine W contrast IV
http://loinc.org	91561-1	MR Cervical and thoracic and lumbar spine W contrast IV
http://loinc.org	91591-8	MR Brain and Orbit - bilateral W contrast IV
http://loinc.org	91592-6	MR Brain and Orbit - bilateral WO and W contrast IV
http://loinc.org	91593-4	MR Brain and Orbit - bilateral WO contrast
