query_string
vinca alkaloid
Vinca alkaloids and analogues
vinblastine
vincristine

platinum compound
Platinum compounds
carboplatin

alkylating agent
Other alkylating agents
temozolomide

BRAF inhibitor
B-Raf serine-threonine kinase (BRAF) inhibitors
dabrafenib

MEK inhibitor
Mitogen-activated protein kinase (MEK) inhibitors
trametinib

mTOR inhibitor
mTOR (mechanistic target of rapamycin) inhibitors
everolimus

antineoplastic agent
Monoclonal antibodies and antibody drug conjugates
bevacizumab
