"system","code","display","valueset","tf"
"system","code","display","valueset","tf"
"http://www.nlm.nih.gov/research/umls/rxnorm","2110806","crizotinib only product in oral dose form","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2110948","alectinib only product","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2110949","alectinib only product in oral dose form","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111736","ceritinib only product","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2111737","ceritinib only product in oral dose form","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2113990","brigatinib only product","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2113991","brigatinib only product in oral dose form","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2114045","crizotinib only product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2121058","ceritinib oral tablet","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2121059","ceritinib 150 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2121060","ceritinib oral tablet [zykadia]","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2121061","zykadia 150 mg oral tablet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2134264","ensartinib","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2174095","polatuzumab vedotin-piiq 140 mg injection","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2174100","polivy 140 mg injection","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2183381","lorlatinib only product","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2183382","lorlatinib only product in oral dose form","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2183607","gilteritinib only product","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2183608","gilteritinib only product in oral dose form","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197862","entrectinib","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197864","entrectinib oral product","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197866","entrectinib oral capsule","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197867","entrectinib 100 mg oral capsule","rx_class_alk","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197868","rozlytrek","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197870","entrectinib oral capsule [rozlytrek]","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197871","rozlytrek oral product","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197873","rozlytrek 100 mg oral capsule","rx_class_alk","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197875","entrectinib 200 mg oral capsule","rx_class_alk","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","2197877","rozlytrek 200 mg oral capsule","rx_class_alk","8"
"http://www.nlm.nih.gov/research/umls/rxnorm","2276984","entrectinib only product","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2276985","entrectinib only product in oral dose form","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2629295","iruplinalkib","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2668594","entrectinib oral pellet","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2668595","entrectinib 50 mg oral pellet","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2668598","entrectinib oral pellet [rozlytrek]","rx_class_alk","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","2668599","rozlytrek 50 mg oral pellet","rx_class_alk","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","2668964","nvl-655","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2669424","nvl-655","rx_class_alk","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670165","crizotinib oral pellet","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670166","crizotinib 150 mg oral pellet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670169","crizotinib oral pellet [xalkori]","rx_class_alk","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670170","xalkori 150 mg oral pellet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670172","crizotinib 20 mg oral pellet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670174","xalkori 20 mg oral pellet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670176","crizotinib 50 mg oral pellet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","2670178","xalkori 50 mg oral pellet","rx_class_alk","4"
"http://www.nlm.nih.gov/research/umls/rxnorm","102948","cyclophosphamide 10 mg oral tablet [endoxana]","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","105552","bicnu 100 mg injection","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","105555","cyclophosphamide 50 mg oral tablet [endoxana]","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","105560","ccnu 10 mg oral capsule","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","105561","ccnu 40 mg oral capsule","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","107034","ifosfamide 80 mg/ml injectable solution","rx_class_alkylating","1"
"http://www.nlm.nih.gov/research/umls/rxnorm","1151413","carmustine drug implant product","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1151727","carmustine injectable product","rx_class_alkylating","3"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156180","cyclophosphamide / mannitol injectable product","rx_class_alkylating","2"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156181","cyclophosphamide injectable product","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156182","cyclophosphamide oral product","rx_class_alkylating","6"
"http://www.nlm.nih.gov/research/umls/rxnorm","1156183","cyclophosphamide pill","rx_class_alkylating","6"
